Passengers,Year,Month
1235.75,2007,4
1487.53,2007,3
1563.96,2007,7
1575.27,2007,0
1762,2007,8
1875.66,2007,6
1587.49,2007,5
1956.15,2007,1
2089.8,2007,11
2123.36,2007,10
2066.34,2007,9
2365.56,2007,2
1301.87,2008,4
1689.85,2008,3
1798.85,2008,7
1879.34,2008,0
2772.88,2008,8
2150.89,2008,6
2126.73,2008,5
2268.75,2008,1
2278.63,2008,11
2602.25,2008,10
1960.22,2008,9
2502.84,2008,2
1486.36,2009,4
1658.09,2009,3
2055.06,2009,7
1935.51,2009,0
2290.95,2009,8
2428.2,2009,6
2409.62,2009,5
2471.6,2009,1
2586.95,2009,11
2620.45,2009,10
2745.83,2009,9
3073.45,2009,2
1874.24,2010,4
2339.27,2010,3
2816.13,2010,7
3125.82,2010,0
3780.91,2010,8
3005.56,2010,6
3177.19,2010,5
2994,2010,1
3705.41,2010,11
3406.94,2010,10
3653.14,2010,9
3869.24,2010,2
2489.12,2011,4
2537.26,2011,3
2919.38,2011,7
2647,2011,0
2356.88,2011,8
2745.13,2011,6
3361.65,2011,5
3544.15,2011,1
4131.42,2011,11
3589.96,2011,10
3581.8,2011,9
3929.37,2011,2
2002.91,2012,4
2582.01,2012,3
3174.39,2012,7
3093.11,2012,0
2957.91,2012,8
2718.1,2012,6
2921.44,2012,5
3382.86,2012,1
3650.9,2012,11
3922.62,2012,10
3796.46,2012,9
4214.07,2012,2
2488.53,2013,4
2576.32,2013,3
2692.21,2013,7
3071.97,2013,0
2935.71,2013,8
2923.75,2013,6
2908.36,2013,5
3376.82,2013,1
3454.21,2013,11
3619.83,2013,10
4136.88,2013,9
4350.51,2013,2
2322.99,2014,4
2759.07,2014,3
2692.64,2014,7
2519.93,2014,0
2562.5,2014,8
2818.64,2014,6
3159.81,2014,5
3403.25,2014,1
3867.24,2014,11
3985.34,2014,10
3646.84,2014,9
3457.68,2014,2
1921.84,2015,4
2547.3,2015,3
2794.45,2015,7
3130.53,2015,0
2658.88,2015,8
3230.53,2015,6
3491.09,2015,5
3473.21,2015,1
3894.9,2015,11
3190.03,2015,10
3372.45,2015,9
3001.91,2015,2
1614.64,2016,4
2355.04,2016,3
2682.06,2016,7
2892.6,2016,0
2652.12,2016,8
3627.55,2016,6
3494.38,2016,5
3868.45,2016,1
3974.82,2016,11
4380.56,2016,10
6040.96,2016,9
6570.04,2016,2
3194.88,2017,4
4189.39,2017,3
4710.98,2017,7
4314.67,2017,0
4442.73,2017,8
4688.29,2017,6
4994.15,2017,5
5073.72,2017,1
5414.96,2017,11
5209.59,2017,10
5681.38,2017,9
6579.24,2017,2
3722.28,2018,4
5222.28,2018,3
5558.45,2018,7
5522.41,2018,0
4936.49,2018,8
5226.89,2018,6
5493.41,2018,5
5729.53,2018,1
5893.07,2018,11
5247.11,2018,10
4542.83,2018,9
5509.7,2018,2
2876.41,2019,4
,2019,3
,2019,7
,2019,0
,2019,8
,2019,6
,2019,5
,2019,1
,2019,11
,2019,10
,2019,9
,2019,2
,2020,4
